Contaminante,Zona,Valor Activación,Estación,Día,Fecha de activación,Hora de Activacion,Fase,Valor de activación durante,Estación,Fecha,Hora,Fecha de desactivación,Hora de desactivación,"Valor de activación
desactivacion"
Ozono,SO,160,Centro de Ciencias de la Atmósfera,Jueves,30/05/2024,15:00,I,160,Centro de Ciencias de la Atmósfera,30/05/2024,15:00,31/05/2024,15:00,120
Ozono,SE,174,UAM-Xochimilco,Sábado,25/05/2024,14:00,I,174,UAM-Xochimilco,25/05/2024,14:00,26/05/2024,17:00,117
Ozono,CE,158,Benito Juárez,Miércoles,22/05/2024,14:00,I,170,UAM-Xochimilco,22/05/2024,15:00,24/05/2024,18:00,105
Ozono,SO,160,Centro de Ciencias de la Atmósfera,Sábado,18/05/2024,14:00,I,165,Centro de Ciencias de la Atmosfera,18/05/2024,15:00,19/05/2024,15:00,120
Ozono,SE,156,UAM-Iztapalapa,Lunes,13/05/2024,15:00,I,181,Cuautitlán,14/05/2024,17:00,16/05/2024,17:00,96
Ozono,NE,158,Gustavo A. Madero,Jueves,09/05/2024,13:00,I,168,Pedegal,09/05/2024,15:00,10/05/2024,17:00,105
Ozono,NO,170,Tlalnepantla,Viernes,03/05/2024,15:00,I,170,Tlalnepantla,03/05/2024,15:00,04/05/2024,17:00,96
Ozono,NO,158,Tlalnepantla,Martes,30/04/2024,15:00,I,163,Tultitlán,30/04/2024,17:00,01/05/2024,17:00,113
Ozono,NO,162,"Atizapan, Cuautitlán y Villa de las Flores",Sábado,23/03/2024,16:00,I,162,Atizapán,23/03/2024,16:00,24/03/2024,15:00,94
Ozono,NO,163,Atizapan,Jueves,06/03/2024,15:00,I,179,Atizapan,06/03/2024,16:00,07/03/2024,15:00,111
Ozono,SO,167,Ajusco Medio,Jueves,22/02/2024,15:00,I,187,FES-Aragón,23/02/2024,16:00,25/02/2024,15:00,114
PM2.5,SE,99.5,Santiago Acahualtepec,Lunes,01/01/2024,10:00,I Regional,119.5,Santiago Acahualtepec,01/01/2024,18:00,01/01/2024,18:00,119.5
Ozono,NO,161,FES- Acatlán,Sábado,25/03/2023,16:00,I,161,FES- Acatlán,25/03/2023,16:00,27/03/2023,18:00,105
Ozono,SO,155,Ajusco Medio,Jueves,23/02/2023,15:00,I,171,Ajusco Medio,23/02/2023,16:00,24/02/2023,18:00,113
PM2.5,SE,104,Santiago Acahualtepec,Domingo,01/01/2023,11:00,I Regional,109,Santiago Acahualtepec,01/01/2023,15:00,01/01/2023,16:00,108
Ozono,SO,155,Centro de Ciencias de la Atmósfera,sábado,12/11/2022,15:00,I,163,Ajusco Medio,12/11/2022,17:00,14/11/2022,17:00,121
Ozono,SO,156,Santa Fe,Martes,07/06/2022,17:00,I,156,Santa Fe,07/06/2022,17:00,08/06/2022,15:00,115
Ozono,SO,160,Cuajimalpa,Viernes,20/05/2022,15:00,I,172,Santa Fe,20/05/2022,16:00,21/05/2022,17:00,142
Ozono,CE,168,Benito Juárez,Jueves,05/05/2022,16:00,I,168,Benito Juárez,05/05/2022,16:00,06/05/2022,20:00,94
Ozono,CE / SO,169,Benito Juárez / Centro de Ciencias de la Atmósfera,Lunes,02/05/2022,17:00,I,169,Benito Juárez / Centro de Ciencias de la Atmósfera,02/05/2022,17:00,04/05/2022,20:00,90
Ozono,SO,162,Santa Fe,Martes,29/03/2022,16:00,I,162,Santa Fe,29/03/2022,16:00,30/03/2022,17:00,100
PM2.5,SE,99.9,Santiago Acahualtepec,sábado,25/12/2021,11:00,I Regional,107.2,Santiago Acahualtepec,25/12/2021,15:00,26/12/2021,03:00,93.1
Ozono,SO,157,Centro de Ciencias de la Atmósfera,Martes,08/06/2021,16:00,I,158,Santa Fe,08/06/2021,17:00,08/06/2021,20:00,79
Ozono,SO,159,Centro de Ciencias de la Atmósfera,Lunes,26/04/2021,16:00,I,159,Centro de Ciencias de la Atmosfera,26/04/2021,16:00,27/04/2021,18:00,119
Ozono,NO,160,Tultitlán,Miércoles,21/04/2021,18:00,I,160,Tultitlán,21/04/2021,18:00,22/04/2021,20:00,93
Ozono,SO,159,Centro de Ciencias de la Atmósfera,Miércoles,11/11/2020,16:00,I,159,Centro de Ciencias de la Atmosfera,11/11/2020,16:00,12/11/2020,20:00,52
PM2.5,NE,155,Nezahualcóyotl,Miércoles,25/12/2019,11:00,I Regional,178,Nezahualcóyotl,26/12/2019,01:00,26/12/2019,10:00,116
PM2.5   y,NE,161,Nezahualcóyotl,Martes,14/05/2019,15:00,Extraordinaria,161,Nezahualcóyotl,14/05/2019,09:00,17/05/2019,19:00,96
Ozono****,SO,142,Pedregal,Miércoles,15/05/2019,15:01,Extraordinaria,149,Tulritlán,14/05/2019,16:00,18/05/2019,19:01,106
Ozono,NO,154,Camarones,Martes,16/04/2019,17:00,I,154,Camarones,16/04/2019,17:00,18/04/2019,15:00,114
Ozono,SO,152,Pedregal,Miércoles,10/04/2019,17:00,I,154,Nezahualcóyotl,10/04/2019,18:00,11/04/2019,15:00,126
Ozono,SO,155,Pedregal,Sábado,30/03/2019,15:00,I,155,Pedregal,30/03/2019,15:00,31/03/2019,15:00,138
PM10,NE,157,Villa de las Flores,Martes,01/01/2019,09:00,I Regional,164,Villa de las Flores,01/01/2019,11:00,02/01/2019,10:00,105
PM10,NE,152,Villa de las Flores,Martes,25/12/2018,11:00,I Regional,156,Villa de las Flores,25/12/2018,11:00,26/12/2018,10:00,113
Ozono,SO,161,Pedregal,Miércoles,06/06/2018,16:00,I,161,Pedregal,06/06/2018,16:00,07/06/2018,16:00,144
PM10,NE,154,San Agustín,Jueves,14/12/2017,11:00,I Regional,162,Xalostoc,14/12/2017,14:00,15/12/2017,09:00,147
Ozono,NE,162,Gustavo A. Madero,Lunes,22/05/2017,15:00,I,183,Centro de Ciencias de la Atmosfera,23/05/2017,18:00,24/05/2017,18:00,105
Ozono,SO,151,Ajusco Medio,Lunes,15/05/2017,16:00,I,186,Benito Juárez,20/05/2017,17:00,21/05/2017,19:00,104
PM10,NE,153,Xalostoc,Viernes,06/01/2017,09:00,I Regional,158,Xalostoc,06/01/2017,12:00,07/01/2016,09:00,132
Ozono,SO,151,Ajusco Medio,Jueves,11/08/2016,16:00,I,158,Ajusco Medio,11/08/2016,17:00,12/08/2016,17:00,127
Ozono,SO,152,Santa Fe,Viernes,08/07/2016,17:00,I,152,Santa Fe,08/07/2016,17:00,09/07/2016,15:00,88
Ozono,SO,155,Miguel Hidalgo,Martes,31/05/2016,16:00,I,161,Santa Fe,31/05/2016,17:00,01/06/2016,18:00,115
Ozono,NE,165,Gustavo A. Madero,Viernes,27/05/2016,15:00,I,165,Gustavo A. Madero,27/05/2016,15:00,28/05/2016,18:00,109
Ozono,NO,151,Camarones,Martes,24/05/2016,15:00,I,151,Camarones,24/05/2016,15:00,24/05/2016,21:00,49
Ozono,SO,178,Santa Fe,Viernes,20/05/2016,15:00,I,188,Cuajimalpa,20/05/2016,16:00,21/05/2016,17:00,133
Ozono,SE,157,Tláhuac,Sábado,14/05/2016,17:00,I,157,Tláhuac,14/05/2016,17:00,15/05/2016,15:00,69
Ozono,CE,161,Benito Juárez,Lunes,02/05/2016,15:00,I,192,Ajusco Medio,04/05/2016,16:00,05/05/2016,17:00,127
Ozono,SO,156,Ajusco,Martes,05/04/2016,17:00,I,156,Ajusco,05/04/2016,17:00,06/04/2016,17:00,127
Ozono,SO,194,Cuajimalpa,Lunes,14/03/2016,16:00,I,203,Cuajimalpa,14/03/2016,17:00,17/03/2016,16:00,136
PM10,NE***,181,Villa de las Flores,Sábado,01/01/2005,08:00,I  Regional,197,Viila de las Flores,01/01/2005,15:00,02/01/2005,08:00,90
PM10,NE***,176,Xalostoc,Jueves,25/12/2003,12:00,I  Regional,190,Xalostoc,25/12/2003,22:00,26/12/2003,12:00,126
Ozono,SO,242,Pedregal,Miércoles,18/09/2002,16:00,I,242,Pedregal,18/09/2002,16:00,19/09/2002,16:00,137
PM10,SE***,185,Tláhuac,Domingo,30/01/2000,07:00,I  Regional,385,Tláhuac,31/01/2000,15:00,01/02/2000,18:00,145
Ozono,SO,272,Plateros,Viernes,15/10/1999,15:00,I,272,Plateros,15/10/1999,15:00,16/10/1999,17:00,174
Ozono,NO,242,Azcapotzalco,Jueves,11/03/1999,17:00,I,242,Azcapotzalco,11/03/1999,17:00,12/03/1999,17:00,172
Ozono,SO,262,Pedregal,Lunes,11/01/1999,17:00,I,262,Pedregal,11/01/1999,17:00,14/01/1999,17:00,170
PM10,NE***,179,Nezahualcóyotl,Sábado,19/12/1998,03:00,I,230,Nezahualcóyotl,19/12/1998,13:00,22/12/1998,10:00,138
Ozono,NO,262,ENEP Acatlán,Jueves,03/12/1998,15:00,I,262,ENEP Acatlán,03/12/1998,15:00,06/12/1998,15:00,176
Ozono,NE,243,San Agustín,Martes,06/10/1998,14:00,I,243,San Agustín,06/10/1998,14:00,07/10/1998,16:00,103
Ozono,SO**,243,Pedregal,Viernes,05/06/1998,14:00,I,251,Pedregal,05/06/1998,15:00,06/06/1998,15:00,105
Ozono,SO,251,Pedregal,Lunes,25/05/1998,14:00,I,251,Pedregal,25/05/1998,14:00,30/05/1998,15:00,151
Ozono,NO,250,ENEP Acatlán,Miércoles,22/10/1997,17:00,I,250,ENEP Acatlán,22/10/1997,17:00,25/10/1997,17:00,200
Ozono,NO,270,Tacuba,Sábado,27/09/1997,16:00,I,270,Tacuba,27/09/1997,16:00,28/09/1997,16:00,142
Ozono,SO,262,Pedregal,Martes,29/04/1997,15:00,I,262,Pedregal,29/04/1997,15:00,01/05/1997,16:00,123
Ozono,SO,274,Pedregal,Martes,29/10/1996,14:00,I,274,Pedregal,29/10/1996,14:00,02/11/1996,15:30,111
Ozono,SO,256,Pedregal,Martes,15/10/1996,15:00,I,256,Pedregal,15/10/1996,15:00,17/10/1996,15:00,117
Ozono,NO,269,Tacuba,Viernes,19/01/1996,15:00,I,269,Tacuba,19/01/1996,15:00,22/01/1996,17:00,156
Ozono,SO,254,Pedregal,Viernes,01/12/1995,15:00,I,254,Pedregal,01/12/1995,15:00,04/12/1995,15:00,120
Ozono,SO,295,Pedregal,Lunes,31/07/1995,13:00,I,295,Pedregal,31/07/1995,13:00,01/08/1995,17:00,87
Ozono,CE,283,Benito Juárez,Viernes,23/06/1995,15:00,I,292,Benito Juárez,23/06/1995,16:00,24/06/1995,14:00,167
Ozono,SO,250,Pedregal,Martes,06/06/1995,13:00,I,254,Pedregal,06/06/1995,13:00,07/06/1995,14:00,151
Ozono,SO*,289,Plateros,Jueves,23/03/1995,13:00,I,289,Plateros,23/03/1995,13:00,24/03/1995,14:00,153
Ozono,SO,253,Pedregal,Miércoles,21/12/1994,15:00,I,259,Pedregal,21/12/1994,16:00,24/12/1994,14:00,64
Ozono,NO,258,ENEP Acatlán,Miércoles,22/12/1993,13:00,I,295,ENEP Acatlán,23/12/1993,14:00,25/12/1993,14:00,149
Ozono,SO,279,Plateros,Lunes,20/12/1993,14:00,I,279,Pedregal,20/12/1993,14:00,21/12/1993,15:00,133
Ozono,SO,276,Plateros,Lunes,13/12/1993,14:00,I,289,Pedregal,13/12/1993,15:00,15/12/1993,19:00,75
Ozono,NO,271,ENEP Acatlán,Jueves,02/12/1993,14:00,I,271,Pedregal,02/12/1993,16:00,03/12/1993,17:00,196
Ozono,SO,266,Plateros,Martes,16/11/1993,14:00,I,266,Plateros,16/11/1993,14:00,17/11/1993,14:00,160
Ozono,SO,257,Plateros,Jueves,11/11/1993,14:00,I,278,Plateros,11/11/1993,16:00,12/11/1993,18:00,124
Ozono,NO,257,Azcapotzalco,Jueves,28/10/1993,14:00,I,259,Azcapotzalco,28/10/1993,15:00,29/10/1993,14:00,29
Ozono,NO,257,ENEP Acatlán,Lunes,13/09/1993,14:00,I,257,ENEP Acatlán,13/09/1993,14:00,14/09/1993,14:00,55
Ozono,SO,255,Plateros,Viernes,26/02/1993,13:30,I,284,Merced,26/02/1993,14:00,27/02/1993,15:00,190
Ozono,SO,289,Pedregal,Jueves,18/02/1993,13:30,I,312,Pedregal,18/02/1993,14:00,19/02/1993,19:00,75
Ozono,SO,278,Pedregal,Martes,16/02/1993,14:30,I,278,Pedregal,16/02/1993,14:00,17/02/1993,19:00,87
Ozono,SO,272,Plateros,Viernes,12/02/1993,14:30,I,280,Pedregal,12/02/1993,16:00,13/02/1993,18:30,160
Ozono,SO,338,Pedregal,Miércoles,30/12/1992,16:00,II,338,Pedregal,30/12/1992,16:00,01/01/1993,17:00,117
Ozono,NO,300,ENEP Acatlán,Viernes,18/12/1992,14:00,I,300,ENEP Acatlán,18/12/1992,14:00,19/12/1992,17:00,191
Ozono,SO,360,Plateros,Viernes,20/03/1992,13:00,II,360,Plateros,20/03/1992,13:00,10/04/1992,13:00,187
Ozono,SO,293,Pedregal,Jueves,19/03/1992,12:00,I,360,Plateros,20/03/1992,13:00,10/04/1992,13:00,187
Ozono,SO,398,Plateros,Lunes,16/03/1992,14:00,II,398,Plateros,16/03/1992,14:00,17/03/1992,14:00,151
Ozono,SO,276,Plateros,Viernes,06/03/1992,12:00,I,276,Plateros,06/03/1992,12:00,07/03/1992,14:00,187
Ozono,SO,274,Pedregal,Martes,18/02/1992,14:30,I,277,Plateros,19/02/1992,14:00,20/02/1992,15:00,173
Ozono,NO,342,ENEP Acatlán,Jueves,06/02/1992,13:00,II,342,ENEP Acatlán,06/02/1992,13:00,07/02/1992,14:00,132
Ozono,SO,340,Pedregal,Miércoles,23/10/1991,14:00,II,340,Pedregal,23/10/1991,13:00,25/10/1991,16:00,179
Ozono,SO,267,Plateros,Miércoles,06/03/1991,12:00,I,315,ENEP Acatlán,07/03/1991,12:00,10/03/1991,14:00,162
Ozono,CE,249,Merced,Sábado,02/02/1991,13:00,I,249,Merced,02/02/1991,13:00,04/02/1991,16:00,184
Ozono,SO,298,PED/PLA*,Jueves,25/02/1988,12:00,I,298,PED/PLA,25/02/1988,13:00,28/02/1988,12:00,196
Ozono,SO,233,PED/PLA*,Miércoles,03/02/1988,12:00,I,266,PED/PLA,04/02/1988,13:00,05/02/1988,12:00,142
